Sanskrit,Transliteration,English,Lesson,Type,Category
शब्द0939,śabda0939,Word 939,L94,vocab,Clothing
शब्द0940,śabda0940,Word 940,L94,vocab,Clothing
शब्द0941,śabda0941,Word 941,L95,vocab,Time
शब्द0942,śabda0942,Word 942,L95,vocab,Time
शब्द0943,śabda0943,Word 943,L95,vocab,Time
शब्द0944,śabda0944,Word 944,L95,vocab,Time
शब्द0945,śabda0945,Word 945,L95,vocab,Time
शब्द0946,śabda0946,Word 946,L95,vocab,Time
शब्द0947,śabda0947,Word 947,L95,vocab,Time
शब्द0948,śabda0948,Word 948,L95,vocab,Time
शब्द0949,śabda0949,Word 949,L95,vocab,Time
शब्द0950,śabda0950,Word 950,L95,vocab,Time
शब्द0951,śabda0951,Word 951,L96,vocab,Directions
शब्द0952,śabda0952,Word 952,L96,vocab,Directions
शब्द0953,śabda0953,Word 953,L96,vocab,Directions
शब्द0954,śabda0954,Word 954,L96,vocab,Directions
शब्द0955,śabda0955,Word 955,L96,vocab,Directions
शब्द0956,śabda0956,Word 956,L96,vocab,Directions
शब्द0957,śabda0957,Word 957,L96,vocab,Directions
शब्द0958,śabda0958,Word 958,L96,vocab,Directions
शब्द0959,śabda0959,Word 959,L96,vocab,Directions
शब्द0960,śabda0960,Word 960,L96,vocab,Directions
शब्द0961,śabda0961,Word 961,L97,vocab,Emotions
शब्द0962,śabda0962,Word 962,L97,vocab,Emotions
शब्द0963,śabda0963,Word 963,L97,vocab,Emotions
शब्द0964,śabda0964,Word 964,L97,vocab,Emotions
शब्द0965,śabda0965,Word 965,L97,vocab,Emotions
शब्द0966,śabda0966,Word 966,L97,vocab,Emotions
शब्द0967,śabda0967,Word 967,L97,vocab,Emotions
शब्द0968,śabda0968,Word 968,L97,vocab,Emotions
शब्द0969,śabda0969,Word 969,L97,vocab,Emotions
शब्द0970,śabda0970,Word 970,L97,vocab,Emotions
शब्द0971,śabda0971,Word 971,L98,vocab,Professions
शब्द0972,śabda0972,Word 972,L98,vocab,Professions
शब्द0973,śabda0973,Word 973,L98,vocab,Professions
शब्द0974,śabda0974,Word 974,L98,vocab,Professions
शब्द0975,śabda0975,Word 975,L98,vocab,Professions
शब्द0976,śabda0976,Word 976,L98,vocab,Professions
शब्द0977,śabda0977,Word 977,L98,vocab,Professions
शब्द0978,śabda0978,Word 978,L98,vocab,Professions
शब्द0979,śabda0979,Word 979,L98,vocab,Professions
शब्द0980,śabda0980,Word 980,L98,vocab,Professions
शब्द0981,śabda0981,Word 981,L99,vocab,Verbs
शब्द0982,śabda0982,Word 982,L99,vocab,Verbs
शब्द0983,śabda0983,Word 983,L99,vocab,Verbs
शब्द0984,śabda0984,Word 984,L99,vocab,Verbs
शब्द0985,śabda0985,Word 985,L99,vocab,Verbs
शब्द0986,śabda0986,Word 986,L99,vocab,Verbs
शब्द0987,śabda0987,Word 987,L99,vocab,Verbs
शब्द0988,śabda0988,Word 988,L99,vocab,Verbs
शब्द0989,śabda0989,Word 989,L99,vocab,Verbs
शब्द0990,śabda0990,Word 990,L99,vocab,Verbs
शब्द0991,śabda0991,Word 991,L100,vocab,Adjectives
शब्द0992,śabda0992,Word 992,L100,vocab,Adjectives
शब्द0993,śabda0993,Word 993,L100,vocab,Adjectives
शब्द0994,śabda0994,Word 994,L100,vocab,Adjectives
शब्द0995,śabda0995,Word 995,L100,vocab,Adjectives
शब्द0996,śabda0996,Word 996,L100,vocab,Adjectives
शब्द0997,śabda0997,Word 997,L100,vocab,Adjectives
शब्द0998,śabda0998,Word 998,L100,vocab,Adjectives
शब्द0999,śabda0999,Word 999,L100,vocab,Adjectives
शब्द1000,śabda1000,Word 1000,L100,vocab,Adjectives
